ID;IDMARCA;NOME
4388;171;SPORTSMAN 800 EFI
4389;171;SPORTSMAN BIG BOSS 6X6 800
4390;171;SCRAMBLER XP 850 HO
4391;171;SCRAMBLER XP 1000 EPS
4392;171;SPORTSMAN TOURING 850
4393;171;SPORTSMAN TOURING 570
4394;171;SPORTSMAN TOURING 550
4395;171;SPORTSMAN X2 550
4396;171;PHOENIX 200
4397;171;RZR 170
4398;171;OUTLAW 90
4399;171;SPORTSMAN 90
4400;171;OUTLAW 50
4401;171;BRUTUS
4402;483;CROSS ROADS 8-BALL
4403;483;CROSS ROADS CLASSIC
4404;483;CROSS COUNTRY 8-BALL
4405;483;CROSS COUNTRY
4406;483;NESS CROSS COUNTRY
4407;483;VISION TOUR
4408;483;CROSS COUNTRY TOUR
4409;483;CROSS COUNTRY TOUR ANNIVERSARY
4410;483;VEGAS 8-BALL
4411;483;HIGH-BALL
4412;483;HAMMER 8-BALL
4413;483;BOARDWALK
4414;483;JACKPOT
4416;483;ZACH NESS CROSS COUNTRY
4417;483;HARD-BALL
4418;483;NESS VISION
4419;483;CORY NESS CROSS COUNTRY TOUR
4420;484;CHIEF CLASSIC
4421;484;CHIEF VINTAGE
4422;484;CHIEFTAIN
4459;98;COOL STAR 125
4461;98;JOJO 110
4464;98;KP150F
4467;98;POWER KING
4469;98;GLOW 110S
4471;98;POWER MAN 250
4474;98;STEED 250
4475;98;TRAVELLER
4477;98;PK110F
4914;532;F2 PLUS
4915;532;SUPER F2
4916;532;SUPER F1
4917;532;SUPER F3
4918;532;BVX 125
4919;532;BVX 130 STREET
4920;532;BVX 150 S1
4921;532;TR 150 D6
4922;532;AX 200
4923;532;BVX 200
4924;532;BX 260
4925;532;BR 250 D1
4926;532;CARGO 260
4928;133;COMET GT 250
4929;133;COMET GT-R 250
4935;135;FZR600
4936;135;FZR400
4937;135;FZR250
4942;135;XS1100
4944;135;SRX 400
4945;135;SRX 600
4946;135;V-MAX 1680
4947;135;FJR1300
4948;135;XTZ 750 SUPER TENERE
4949;135;XT 600
4950;135;VIRAGO 400
4951;135;VIRAGO 535
4952;135;VIRAGO 750
4953;135;VIRAGO 1400
4954;135;XZ 550
4955;135;YZR 500
4956;135;WR 450F
4957;135;TZ 250
4958;135;YZ 125
4959;135;YZ 250
4960;135;YZ 450
4962;135;XR 180
4963;135;TT 125
4994;185;ALPINA
4996;185;NEVADA
4997;185;WINSTAR
4998;185;ELEKTRA
4999;185;TEXANA
5000;185;ALTINO
5001;185;AQUILA
5002;185;DAYSTAR ROUTIER
