ID;IDMARCA;NOME
2131;10;458 ITALIA
2135;10;CHALLENGE
2136;10;SUPERAMERICA
2137;10;F430 SPIDER
2139;10;612 SESSANTA
2140;10;599 GTB
2141;10;SCUDERIA SPIDER
2143;10;456 GT
2144;10;348 GTS
2145;10;348 SPIDER
2147;10;F355 SPIDER
2149;10;355 SPIDER
2150;10;360 MODENA
2151;111;PAJERO FULL
2152;111;PAJERO DAKAR
2153;111;PAJERO TR4
2154;111;LANCER SPORTBACK
2155;111;LANCER EVOLUTION
2156;111;L200 TRITON SAVANA
2157;111;L200 TRITON
2159;43;LIVINA X-GEAR
2160;43;GRAND LIVINA
2161;21;NEW ACTYON SPORTS
2165;114;SPIDER
2166;114;KABRIO
2168;114;SAGA II
2171;295;GAIOLA
2176;18;CHALLENGER
2178;18;LE BARON
2179;18;CORDOBA
2180;18;CHARGER
2181;19;WINDSOR
2183;19;CROSSFIRE
2184;19;CORDOBA
2185;155;ESCALADE
2186;41;RIVIERA
2188;41;CENTURY
2189;41;APOLLO
2190;41;CENTURION
2192;41;ELECTRA
2193;41;ESTATE WAGON
2194;41;GRAN SPORT
2196;41;INVICTA
2197;41;LESABRE
2198;41;LIMITED
2199;41;PARK AVENUE
2200;41;RAINIER
2201;41;REATTA
2203;41;RENDEZVOUS
2204;41;ROADMASTER
2205;41;ROYAUM
2206;41;SKYHAWK
2207;41;SKYLARK
2208;41;SOMERSET
2209;41;SPECIAL
2210;41;SPORT WAGON
2212;41;TERRAZA
2213;41;WILDCAT
2214;41;LACROSSE
2215;41;ENCLAVE
2219;41;LUCERNE
2230;13;SIERRA
2231;51;BROUGHAM
2232;51;CHAIRMAN
2234;51;GENTRA
2235;51;MAEPSY
2236;51;ISTANA
2238;51;KORANDO
2239;51;LACETTI
2240;51;LEMANS
2246;51;ROYALE PRINCE
2247;51;ROYALE SALON
2248;51;STATESMAN
2250;51;WINSTORM
2261;18;CUSTOM ROYAL
2262;1;CLUB COUPE
2263;18;MAGNUM
2264;1;GMC 100
2265;69;SOLSTICE
2266;158;ITAMARATY
2267;86;MARK V
2269;145;CHAMPION
2270;3;BALILLA
2271;158;INTERLAGOS
2274;70;SPEEDSTER 356
2275;88;TOPIC FURGAO
2276;88;TOPIC ESCOLAR
2280;4;CLASSE TE
2294;24;MEGANE SEDAN
2295;32;A4 CABRIOLET
2298;82;LINHA G
2299;82;LINHA G COUPE
2300;82;LINHA G CONVERSIVEL
2301;82;LINHA M
2302;82;LINHA EX
2303;82;LINHA JX
2304;82;LINHA QX
2305;86;MODELOS XF
2306;86;F-TYPE
2307;86;MARK VII
2308;86;MARK VIII
2309;86;MARK IX
2310;86;MARK X
2311;86;E-TYPE
2312;86;C-TYPE
2313;86;D-TYPE
2314;86;MARK I
2315;86;MARK II
2347;124;SPYDER
2378;7;AIRWAVE
2380;7;BALLADE
2383;7;CONCERTO
2385;7;DOMANI
2387;7;ELEMENT
2388;7;EV PLUS
2394;7;INSIGHT
2397;7;LIFE DUNK
2399;7;MOBILIO
2401;7;ORTHIA
2402;7;PARTNER VAN
2404;7;RIDGELINE
2409;7;STEPWGN
2410;7;STREAM
2446;59;MR WAGON
2448;59;VERONA
2477;158;JEEP CJ
2479;22;306 CABRIOLET
2484;57;BELCAR
2492;22;407 SW
2493;22;307 CC
2499;1;STYLELINE
2500;13;ANGLIA
2510;54;SPORTSMAN
2514;24;21 NEVADA
2515;11;VEYRON
2517;22;306 SW
2532;70;SPYDER 550
2533;10;380 GTB
2536;18;KINGSWAY
2540;1;IMPALA
2542;1;GRAND BLAZER
2555;53;100 SERIES
2558;53;200 SERIES
2559;53;300 SERIES
2562;53;700 SERIES
2563;53;AMAZON
2573;13;DE LUXE
2574;13;CUSTOM
2575;13;T-BUCKET
2588;111;PAJERO FULL 3D
2589;111;PAJERO SPORT
2590;36;120 CABRIO
2591;36;320 TOURING
2592;36;330 CABRIO
2593;36;SERIE 5 TOURING
2594;36;SERIE 6 CABRIO
2595;36;SERIE M CONVERSIVEL
2596;36;M5 TOURING
2597;36;SERIE Z ROADSTER
2599;13;KA SPORT
2605;16;CERATO KOUP
2608;23;COROLLA XRS
2609;23;ETIOS SEDAN
2611;13;FREESTYLE
2612;110;COUGAR
2615;102;XUV 500
2619;102;BOLERO
2622;102;LEGEND
2624;102;ARMADA
2625;102;CHASSI
2626;102;SCORPIO PICK-UP
2627;6;STAR TRUCK
2629;6;STAR VAN CARGO
2630;6;STAR VAN PASSAGEIROS
2632;141;ALVORADA
2633;141;CHAMBORD
2637;141;PROFISSIONAL
2639;141;VEDETTE
2640;141;ARONDE
2649;1;CHEVETTE
2655;36;BAVARIA
2656;36;C-2800
2659;36;318 CABRIO
2660;36;325 CABRIO
2675;341;MATRIX 4X4
2696;132;A9 CARGO
2698;132;T20 BAU
2704;64;SUPER 90 COUPE
2706;17;ITAIPU
2709;17;MOTOMACHINE
2710;17;BUGATO
2716;57;CAICARA
2717;57;CARCARA
2718;57;FISSORE
2719;57;MALZONI
2720;57;VEMAGUET
2727;5;C4 LOUNGE
2730;147;LUCENA
2731;147;SEVETSE
2756;4;CLASSE CLA
2757;4;CLASSE V
2761;4;CLASSE S CLASSICO
2810;345;PICK-UP
2823;5;C3 SOLARIS
2824;5;C3 XTR
2825;5;C4 SOLARIS
2826;5;C5 BREAK/TOURER
2827;5;XSARA BREAK
2828;5;XSARA VTS
2829;5;XANTIA BREAK
2830;5;XM BREAK
2836;5;C3 PLURIEL
2840;5;C-CROSSER
2844;5;CX BREAK
2847;5;GS/GSA
2848;5;GS/GSA BREAK
2849;5;MEHARI
2852;5;ELYSEE
2853;24;MASTER MINIBUS
2855;47;CELER SEDAN
2856;47;CIELO SEDAN
2857;32;A1 SPORTBACK
2858;32;A1 QUATTRO
2859;32;A3 SPORTBACK
2860;32;RS4 AVANT
2861;32;A8L W12
2862;32;R8 V10
2863;13;RANGER CD
2874;7;FIT TWIST
2878;13;MONDEO SW
2879;13;ESCORT SEDAN
2880;13;ESCORT CONVERSIVEL
2884;1;CORISCO
2885;1;CHEVELLE
2886;13;EXCURSION
2887;2;TOURAN
2890;13;F-10000
